Campaign;Clicks;Costs (in dollars);Costs (indollars);Month
Aktionen_EX;0;0.0;;01.06.2015
Aktionen_EX;0;0.0;;01.09.2015
Aktionen_BMM;0;0.0;;01.07.2015
Ehrenamt_BMM;0;0.0;;01.02.2015
Ehrenamt_BMM;0;0.0;;01.06.2015
Ehrenamt_BMM;0;0.0;;01.12.2015
Aktionen_EX;0;0.0;;01.07.2015
Aktionen_EX;0;0.0;;01.12.2015
Eigenname_BMM;0;0.0;;01.02.2015
Öffentlichkeit;970;487.26;;01.07.2015
Öffentlichkeit;988;498.18;;01.08.2015
Kinder_EX;0;0.0;;01.01.2015
Kinder_EX;0;0.0;;01.08.2015
Eigenname_BMM;0;0.0;;01.04.2015
Eigenname_BMM;0;0.0;;01.07.2015
Eigenname_BMM;0;0.0;;01.08.2015
Öffentlichkeit;966;464.51;;01.05.2015
Öffentlichkeit;936;455.32;;01.06.2015
Öffentlichkeit;1138;569.59;;01.10.2015
Öffentlichkeit;996;423.95;;01.12.2015
Kinder_EX;0;0.0;;01.03.2015
Lebensmittel_BMM;0;0.0;;01.01.2015
Eigenname_EX;0;0.0;;01.05.2015
Spenden_EX;0;0.0;;01.04.2015
Spenden_EX;0;0.0;;01.10.2015
Spenden_EX;0;0.0;;01.11.2015
Eigenname_EX;0;0.0;;01.04.2015
Eigenname_EX;0;0.0;;01.06.2015
Eigenname_EX;0;0.0;;01.07.2015
Eigenname_EX;0;0.0;;01.10.2015
Spenden_BMM;0;0.0;;01.03.2015
Spenden_BMM;0;0.0;;01.06.2015
Ehrenamt_EX;0;0.0;;01.12.2015
Spenden_EX;0;0.0;;01.05.2015
Spenden_EX;0;0.0;;01.08.2015
Lebensmittel_EX;0;0.0;;01.01.2015
Fundraising;0;0.0;;01.04.2015
Fundraising;0;0.0;;01.11.2015
Fundraising;0;0.0;;01.01.2015
Fundraising;0;0.0;;01.02.2015
Ehrenamt_BMM;0;0.0;;01.11.2015
Aktionen_EX;0;0.0;;01.04.2015
Aktionen_BMM;0;0.0;;01.02.2015
Aktionen_BMM;0;0.0;;01.04.2015
Aktionen_BMM;0;0.0;;01.05.2015
Aktionen_BMM;0;0.0;;01.09.2015
Ehrenamt_BMM;0;0.0;;01.01.2015
Ehrenamt_BMM;0;0.0;;01.07.2015
Ehrenamt_BMM;0;0.0;;01.09.2015
Ehrenamt_BMM;0;0.0;;01.10.2015
Aktionen_EX;0;0.0;;01.08.2015
