Received,Contribution (in euro),frequency,resource,personal_ID,company
2015-01-02,75.0,once,Geldspende,638222,0
2015-01-02,10.0,once,Mitgliedsbeitrag,173442,0
2015-01-02,22.5,once,Geldspende,435383,0
2015-01-02,50.0,once,Geldspende,638159,0
2015-01-02,3.0,once,Mitgliedsbeitrag,173534,0
2015-01-02,5.0,once,Mitgliedsbeitrag,173419,0
2015-01-02,50.0,once,Geldspende,427644,0
2015-01-02,50.0,once,Dauerspende,423066,0
2015-01-02,30.0,once,Dauerspende,285021,0
2015-01-02,40.0,once,Geldspende,638167,1
2015-01-02,2.75,once,Mitgliedsbeitrag,174511,0
2015-01-02,2.5,once,Dauerspende,284931,0
2015-01-02,3.0,once,Mitgliedsbeitrag,174520,0
2015-01-02,5.0,once,Mitgliedsbeitrag,173445,0
2015-01-02,50.0,once,Dauerspende,284921,0
2015-01-02,20.0,once,Dauerspende,284925,0
2015-01-02,2500.0,once,Geldspende,638155,0
2015-01-02,2.75,once,Mitgliedsbeitrag,174502,0
2015-01-02,100.0,once,Geldspende,638226,0
2015-01-02,10.0,once,Mitgliedsbeitrag,173553,0
2015-01-02,75.0,once,Geldspende,638206,0
2015-01-02,10.0,once,Geldspende,638212,0
2015-01-02,100.0,once,Geldspende,173580,0
2015-01-02,150.0,once,Zehnt,240658,1
2015-01-02,200.0,once,Geldspende,638214,1
2015-01-02,100.0,once,Geldspende,426505,0
2015-01-02,100.0,once,Geldspende,638218,0
2015-01-02,1028.2,once,Zehnt,240568,1
2015-01-02,100.0,once,Geldspende,638220,0
2015-01-02,20.0,once,Mitgliedsbeitrag,173543,0
2015-01-02,27.0,once,Geldspende,638224,0
2015-01-02,3.0,once,Mitgliedsbeitrag,173683,0
2015-01-02,10.0,once,Dauerspende,364937,0
2015-01-02,2000.0,once,Dauerspende,285184,1
2015-01-02,10.0,once,Mitgliedsbeitrag,356318,0
2015-01-02,3.0,once,Mitgliedsbeitrag,173410,0
2015-01-02,20.0,once,Geldspende,432442,0
2015-01-02,50.0,once,Dauerspende,284943,0
2015-01-02,60.0,once,Mitgliedsbeitrag,173632,0
2015-01-02,20.0,once,Dauerspende,284960,0
2015-01-02,100.0,once,Mitgliedsbeitrag,173676,0
2015-01-02,30.0,once,Mitgliedsbeitrag,174504,0
2015-01-02,40.0,once,Zehnt,240562,1
2015-01-02,5.0,once,Dauerspende,285067,0
2015-01-02,10.0,once,Dauerspende,285068,0
2015-01-02,2.75,once,Dauerspende,285070,0
2015-01-02,10.0,once,Dauerspende,364940,0
2015-01-02,10.0,once,Dauerspende,285072,0
2015-01-02,100.0,once,Geldspende,1547617,1
2015-01-02,10.0,once,Dauerspende,285075,0
2015-01-02,30.0,once,Dauerspende,284948,0
2015-01-02,5.0,once,Dauerspende,364939,0
2015-01-02,10.0,once,Dauerspende,285078,0
2015-01-02,25.0,once,Geldspende,435056,0
2015-01-02,25.0,once,Geldspende,285035,0
2015-01-02,10.0,once,Dauerspende,285053,0
2015-01-02,5.0,once,Mitgliedsbeitrag,173499,0
2015-01-02,2.75,once,Dauerspende,285076,0
2015-01-02,5.0,once,Mitgliedsbeitrag,173608,0
2015-01-02,25.0,once,Dauerspende,285042,0
2015-01-02,10.0,once,Mitgliedsbeitrag,598986,0
2015-01-02,5.0,once,Mitgliedsbeitrag,173718,0
2015-01-02,3.0,once,Mitgliedsbeitrag,173563,0
2015-01-02,2.79,once,Mitgliedsbeitrag,173594,0
2015-01-02,2.75,once,Dauerspende,284988,0
