Contribution-ID,Permalink,Posted message,Type,Posted,share,like,comment,Readers of content during runtime,Reaction during runtime
191341015013_10158036454450014,https://www.facebook.com/berlinertafel.ev/posts/10158036454450014:0,"SABINE WERTH WIRD 60  ""Kaum zu glooben - am 16. Januar 2017 is´ et soweit: Ick werd 60. Die Tafel ist mein Lebenselexier, darum bitte keene Jeschenke, aba Kohle für de Tafel. Dicket Danke für die Hilfe."" Weitere Infos findet Ihr hier: http://bit.ly/2hKu944",Photo,2016-12-27 08:52:55,3.0,27.0,1.0,47,60
191341015013_10158034764485014,https://www.facebook.com/berlinertafel.ev/posts/10158034764485014:0,"HA HO HE, KICKER OLE!  Noch vor Weihnachten durften wir von der Firma Pfizer 1500 Tischkicker als Großspende entgegen nehmen. Dieses frühe Geschenk haben wir mit jeweils 500 Stück an Laib und Seele, die sozialen Einrichtungen und die Brandenburger Tafeln weitergegeben. Nicht weiter verwunderlich also, dass es bereits das eine oder andere Kickerturnier über die Feiertage gab. Vielen Dank für diese Spende!",Photo,2016-12-27 01:55:58,2.0,24.0,0.0,57,73
191341015013_10158008508275014,https://www.facebook.com/berlinertafel.ev/posts/10158008508275014:0,"FRIEDVOLLE WEIHNACHTEN  Das gesamte Team der Berliner Tafel wünscht euch einen besinnlichen und fröhlichen Heiligabend im Kreise eurer Familie und Liebsten. Lasst es euch gut gehen, genießt das leckere Essen und Beisammensein!",Photo,2016-12-24 04:10:00,1.0,32.0,2.0,66,104
191341015013_10158008795955014,https://www.facebook.com/berlinertafel.ev/posts/10158008795955014,Berliner Tafel e.V.s Titelbild,Photo,2016-12-22 05:06:39,4.0,74.0,7.0,124,254
191341015013_10157979717060014,https://www.facebook.com/berlinertafel.ev/posts/10157979717060014:0,ZU JEDER SAUSE EINE BRAUSE  Vielen Dank an die ehrenamtlichen Mitarbeiter*Innen von LAIB und SEELE in der Adventkirche für dieses schöne vorweihnachtliche Foto! Unsere Brause scheint geschmeckt zu haben.,Photo,2016-12-16 04:50:44,1.0,12.0,0.0,30,37
191341015013_10157974468055014,https://www.facebook.com/berlinertafel.ev/posts/10157974468055014,"KNUSPER, KNUSPER, KNÄUSCHEN...  ...wer knuspert an meinem Häuschen? Diese zuckersüßen Knusperhäuschen wurden auf dem letzten Foodiemeetup in diesem Jahr zugunsten der Berliner Tafel liebevoll hergestellt.  Schaut doch mal an unserem Stand auf dem Spandauer Weihnachtsmarkt vorbei und dreht an unserem Glücksrad... vielleicht haltet ihr schon bald eines der hübschen Lebkuchenhäuschen in euren Händen.  <3-lichen Dank an Anne & Sandra von Foodiemeetup und alle, die diese kleinen Kunstwerke hergestellt haben!",Photo,2016-12-15 05:39:25,2.0,12.0,0.0,24,31
191341015013_10157969265185014,https://www.facebook.com/berlinertafel.ev/posts/10157969265185014:0,"SEMINARTAG MAL ANDERS  Heute waren 20 FSJler*Innen von den Freiwilligendienste - AWO Landesverband Berlin e.V.bei uns zu Besuch und informierten sich im Rahmen ihres Seminartages zum Thema Obdachlosigkeit und Nachhaltigkeit über unsere Arbeit. Zudem konnten sie einen Blick in unser Warensortierlager werfen und staunten nicht schlecht über all die gespendeten Lebensmittel, die sonst im Müll landen würden.  Die jungen Frauen und Männer machen derzeit ihr Freiwilliges Soziales Jahr u.a. in Behindertenwerkstätten, Kindertagesstätten und Krankenhäusern.   Wir wünschen euch ein erfahrungsreiches Jahr in euren Einsatzorten!",Photo,2016-12-14 05:08:38,3.0,24.0,1.0,88,193
191341015013_10157961956665014,https://www.facebook.com/berlinertafel.ev/posts/10157961956665014,WIEVIEL ROBIN HOOD STECKT IN SABINE WERTH?  Sabine Werth im Gespräch mit Ulrike Timm vom Deutschlandradio Kultur.  Hört doch mal rein: http://bit.ly/2gGRhT4,Link,2016-12-13 04:26:56,2.0,25.0,3.0,50,60
191341015013_10157955990520014,https://www.facebook.com/berlinertafel.ev/posts/10157955990520014:0,"ENDSPURT IM SUPERMARKT   Nur noch wenige Tage läuft die letzte ""Eins mehr!"" Aktion in diesem Jahr... noch bis zum 17. Dezember 2016 könnt ihr einen zusätzlichen Schokoladen-Weihnachtsmann, eine extra Packung Kaffee oder eine Konserve mehr kaufen und den ehrenamtlichen LAIB und SEELE-Helfer*Innen im Supermarkt übergeben.  Wer macht mit? http://bit.ly/1topsLL",Photo,2016-12-12 06:41:30,1.0,9.0,0.0,36,50
191341015013_10157954898090014,https://www.facebook.com/berlinertafel.ev/posts/10157954898090014,Berliner Tafel e.V.s Titelbild,Photo,2016-12-12 00:43:33,4.0,29.0,0.0,48,67
191341015013_10157916438275014,https://www.facebook.com/berlinertafel.ev/posts/10157916438275014:0,"TOMATEN STATT DATEN  Heute hatten wir 10 HelferInnen von idalab bei uns zu Besuch, die fleißig Obst und Gemüse sortiert haben. Vielen Dank dafür und wir freuen uns auf weitere Einsätze von euch!",Photo,2016-12-07 07:43:23,1.0,7.0,0.0,40,56
191341015013_10157916197075014,https://www.facebook.com/berlinertafel.ev/posts/10157916197075014:0,"BLITZ-PIZZ-PLÄTZCHEN  Heute ab 16:30 Uhr ist unser KIMBA-Team wieder live auf der Bühne des SPANDAUER WEIHNACHTSMARKTES.  Eva, Etienne und Timo laden interessierte Kinder zum Mitmachen ein: gemeinsam werden köstliche Plätzchen gebacken. Auch Bully, das Maskottchen der Eisbären, wird heute vor Ort sein.  Ps.: Guckt doch mal das Türchen Nummer 7 an... hier: KIMBA  Wir freuen uns auf euren Besuch!  Und viel Spaß beim Nachbacken und naschen!",Photo,2016-12-07 05:39:33,2.0,15.0,0.0,36,52
191341015013_10157910892505014,https://www.facebook.com/berlinertafel.ev/posts/10157910892505014:0,VON MÄNNERN MIT RAUSCHEBÄRTEN,Photo,2016-12-06 04:08:14,11.0,15.0,1.0,80,131
191341015013_10157892720130014,https://www.facebook.com/berlinertafel.ev/posts/10157892720130014:0,"UNSERE SCHOKI FÄHRT U-BAHN  Aufgepasst beim U-Bahn fahren! Unsere Berliner Tafeln werden derzeit im Berliner Fenster beworben. Heute und morgen mal beim U-Bahn fahren drauf achten!  Noch bis zum 31.12.2016 - oder eben solange der Vorrat reicht - könnt ihr die beliebte Berliner Tafel in den Sorten Zartbitter und Vollmilch in folgenden Supermärkten für je 2 € erwerben:  basic AG, BIO COMPANY, denn’s Biomärkte, LPG und der Speisekammer im Eldorado",Photo,2016-12-02 02:13:45,1.0,19.0,3.0,50,74
191341015013_10157888814805014,https://www.facebook.com/berlinertafel.ev/posts/10157888814805014:0,ERFRIERUNGSTOD VERHINDERN  Der Kältebus der Berliner Stadtmission startete vor über 20 Jahren. Aktueller Anlass war 1994 der Erfrierungstod eines Obdachlosen in Berlin.  Der Kältebus ist seit dem 01.November wieder unterwegs auf der Suche nach hilflosen Obdachlosen.   Die Telefonnummer ist: (0178) 523 58-38  Vielen Dank für eurer Engagement!  Foto: Sebastian Daehne,Photo,2016-12-01 12:00:00,59.0,120.0,6.0,181,266
191341015013_10157888632270014,https://www.facebook.com/berlinertafel.ev/posts/10157888632270014:0,"GEMÜSE DES MONATS DEZEMBER  Der Rosenkohl wird auch als Brüsseler Kohl bezeichnet, was auf seinen Ursprung hindeutet. Die ersten Belege für den Anbau stammen nämlich aus dem Jahr 1587 im heutigen Belgien. Besonders gut munden die Röschen aber erst, nachdem sie den ersten Frost abbekommen haben, da sie dann weniger herb und dafür feiner schmecken. Der Kohl zählt zu den ballaststoffreichsten Gemüsesorten und enthält darüber hinaus noch viel Eiweiß und Vitamin C.",Photo,2016-12-01 06:02:15,4.0,17.0,1.0,37,60
