Datum,total number of Likes,Daily new Likes,Daily new Dislikes,Daily Users' Interactions
2016-01-02,0,2,0,9
2016-01-03,0,2,2,10
2016-01-04,0,7,3,403
2016-01-05,0,4,1,194
2016-01-06,0,13,1,194
2016-01-07,0,9,1,171
2016-01-08,0,3,1,34
2016-01-09,0,2,1,16
2016-01-10,0,7,2,17
2016-01-11,0,8,1,64
2016-01-12,0,3,0,99
2016-01-13,0,1,0,116
2016-01-14,0,4,1,86
2016-01-15,0,2,1,20
2016-01-16,0,5,1,13
2016-01-17,0,1,2,9
2016-01-18,0,2,0,37
2016-01-19,0,2,2,108
2016-01-20,0,4,2,136
2016-01-21,0,3,5,43
2016-01-22,0,4,1,41
2016-01-23,0,2,0,12
2016-01-24,0,2,0,17
2016-01-25,0,5,0,186
2016-01-26,0,2,10,33
2016-01-27,0,1,0,180
2016-01-28,0,4,1,106
2016-01-29,0,4,0,59
2016-01-30,0,4,0,15
2016-01-31,0,2,0,6
2016-02-01,0,2,2,32
2016-02-02,0,2,1,96
2016-02-03,0,4,4,56
2016-02-04,0,0,0,38
2016-02-05,0,3,1,48
2016-02-06,0,11,1,209
2016-02-07,0,6,2,154
2016-02-08,0,8,2,508
2016-02-09,0,10,0,255
2016-02-10,0,4,3,113
2016-02-11,0,4,0,158
2016-02-12,0,2,2,69
2016-02-13,0,2,2,16
2016-02-14,0,0,0,4
2016-02-15,0,4,1,52
2016-02-16,0,1,1,11
2016-02-17,0,0,0,141
2016-02-18,0,1,0,76
2016-02-19,0,2,0,141
2016-02-20,0,2,1,58
2016-02-21,0,4,1,72
2016-02-22,0,2,1,96
2016-02-23,0,1,3,70
2016-02-24,0,2,2,38
2016-02-25,0,2,1,42
2016-02-26,0,0,0,124
2016-02-27,0,1,4,43
2016-02-28,0,3,1,9
2016-02-29,0,0,1,46
2016-03-01,0,2,7,31
2016-03-02,0,2,0,2246
2016-03-03,0,3,0,232
2016-03-04,0,1,2,55
2016-03-05,0,0,1,20
