Year;Month;Day;Agency;Article;Type;MediaType;CFD;CFV
2015;Januar;1;Berliner Woche;Zehn Tonnen Lebensmittel;t;Online;0;0
2015;Januar;1;Morgenpost;BT sammelt in Kirchengemeinden;lus;Online;0;0
2015;Januar;3;taz;Wir brauchen mehr Empörung;lus;Online;0;0
2015;Januar;3;rbb;Unser täglich übriges Brot;lus;Online;0;0
2015;Januar;3;deutschlandradiokultur;Wolfgang Thierse verteidigt Armenspeisung;lus;Online;0;0
2015;Januar;3;neues Deutschland;1o Jahre Laub und Seele;lus;Online;0;0
2015;Januar;4;Berliner Kurier;Müller spendet Lebensmittel für Arme;lus;Online;0;0
2015;Januar;4;Tagesspiegel;Sonntags um 10 - Teilen und helfen;lus;Online;0;0
2015;Januar;5;neues Deutschland;Die Armut wird sichtbar;lus;Online;0;0
2015;Januar;6;BZ;Ein Held mit Laib und Seele;lus;Online;0;0
2015;Januar;6;Berliner Woche;"10 Tonnen Lebensmittel ";lus;Online;0;0
2015;Januar;8;the Changer;Children are the future;k;Online;0;0
2015;Januar;13;Berliner Abendblatt;Auch die Helfer können Hilfe gut gebrauchen;lus;Online;0;0
2015;Februar;2;Berliner Zeitung;Bahnhofsmission Praktikanten sind gefragt;t;Online;0;0
2015;Februar;2;Berliner Woche;Köpenicker Schüler unterstützen die BT;t;Online;0;0
2015;Februar;5;financial.de;IFCO donates EUR 30.000 to support Food Banks during FL;t;Online;0;0
2015;Februar;5;quoteline;IFCO donates EUR 30.000 to support Food Banks during FL;t;Online;0;0
2015;Februar;5;Exberliner;Wasted adventures;t;Online;0;0
2015;Februar;13;Prestige Cars Magazin;TRIGO Businesspark unterstützt die BT;t;Online;0;0
2015;Februar;13;BZ;In dieser Marmelade steckt eine Portion Musik;FL;Online;0;0
2015;Februar;16;BZ;Wir suchen noch junges Gemüse für die Tafel;t;Online;0;1
2015;Februar;20;Frankfurter Allgemeine;Suppe, Seife und Erlösung;lus;Online;0;0
2015;Februar;24;HGVPraxis;München prüft mobile Schulküchen;k;Online;0;0
2015;März;1;Sunday Timer;Rich Germany' secret;t;Online;0;0
2015;März;4;Fruchtportal;IFCO unterstützt Tafeln auf der FL;t;Online;0;0
2015;März;9;Berliner Morgenpost;Armut - Warum jeder fünfte Berliner am Axistenzminimum lebt;lus;Online;0;0
2015;März;12;BZ;Ehrenamt statt Sightseeing für Berlin-Touristen;t;Online;0;0
