personal ID,entry date
638700,2015-01-01
639257,2015-01-01
642177,2015-01-01
181092,2015-01-01
642045,2015-01-01
641242,2015-01-01
643058,2015-01-01
634389,2015-01-01
621841,2015-01-01
641011,2015-01-01
600273,2015-01-01
635316,2015-01-01
635175,2015-01-01
654925,2015-02-01
644200,2015-02-01
650621,2015-02-01
654901,2015-02-01
651750,2015-02-01
652877,2015-02-01
646330,2015-02-01
646263,2015-02-01
650393,2015-02-01
290148,2015-02-01
652327,2015-02-01
652222,2015-02-01
556525,2015-02-19
396941,2015-02-19
689145,2015-03-01
671382,2015-03-01
655645,2015-03-01
689865,2015-03-01
659634,2015-03-01
646664,2015-03-01
671285,2015-03-01
667614,2015-03-01
655477,2015-03-01
676279,2015-03-01
689260,2015-03-01
656240,2015-03-01
657903,2015-03-01
656613,2015-03-01
691499,2015-04-01
670979,2015-04-01
723299,2015-04-01
692812,2015-04-01
724550,2015-04-01
717342,2015-04-01
857512,2015-05-01
757557,2015-05-01
766332,2015-05-01
771000,2015-05-01
779308,2015-06-01
781211,2015-06-01
777826,2015-06-01
737702,2015-06-01
782038,2015-06-01
777765,2015-06-01
768391,2015-06-01
625212,2015-06-01
780117,2015-06-01
890620,2015-07-01
824421,2015-07-01
801797,2015-07-01
836990,2015-07-01
822581,2015-07-01
821279,2015-08-01
844115,2015-08-01
821957,2015-08-01
854778,2015-08-01
844228,2015-08-01
853008,2015-08-01
845765,2015-08-01
854012,2015-08-01
862259,2015-08-01
840051,2015-08-01
854902,2015-08-01
858096,2015-08-01
859813,2015-08-01
844226,2015-08-01
849981,2015-08-01
857772,2015-08-01
612652,2015-08-20
901139,2015-09-01
925496,2015-09-01
910673,2015-09-01
885938,2015-09-01
916216,2015-09-01
879091,2015-09-01
924152,2015-09-01
913451,2015-09-01
887257,2015-09-01
915991,2015-09-01
172494,2015-10-01
940077,2015-10-01
935508,2015-10-01
931898,2015-10-01
939131,2015-10-01
949543,2015-10-01
932554,2015-10-01
940510,2015-10-01
942215,2015-10-01
932140,2015-10-04
988515,2015-11-01
953441,2015-11-01
995854,2015-11-01
953079,2015-11-01
993517,2015-11-01
995041,2015-11-01
961544,2015-11-01
955213,2015-11-01
952140,2015-11-01
988623,2015-11-01
991150,2015-11-01
173299,2015-11-01
952933,2015-11-03
945193,2015-11-14
172626,2015-11-19
464969,2015-11-25
945215,2015-11-27
1045146,2015-12-01
1006926,2015-12-01
1088198,2015-12-01
1063238,2015-12-01
1054268,2015-12-01
1091454,2015-12-01
996280,2015-12-01
1054919,2015-12-01
1088365,2015-12-01
1091050,2015-12-01
1091036,2015-12-01
1065328,2015-12-01
1010689,2015-12-01
1002954,2015-12-01
776192,2016-03-16
644201,2015-01-02
1482432,2016-01-01
1482435,2016-01-01
1106808,2016-01-01
1115378,2016-01-01
1099373,2016-01-01
1004910,2016-01-01
1098732,2016-01-01
1115510,2016-01-01
1100756,2016-01-01
1128871,2016-01-01
1129484,2016-01-01
1091858,2016-01-01
297511,2016-01-01
519054,2016-01-12
1074938,2016-02-01
1194609,2016-02-01
1155405,2016-02-01
1191103,2016-02-01
1154950,2016-02-01
1189047,2016-02-01
1191192,2016-02-01
1191100,2016-02-01
183521,2016-02-03
1189902,2016-02-12
1190259,2016-02-13
183373,2016-02-15
1192744,2016-02-17
1216991,2016-03-01
1216987,2016-03-01
1214124,2016-03-01
1213700,2016-03-01
1227586,2016-03-01
1253211,2016-03-01
1211158,2016-03-01
1228325,2016-03-01
1250935,2016-03-01
1253155,2016-03-01
1213572,2016-03-01
1213635,2016-03-01
1213574,2016-03-01
1214703,2016-03-01
1215616,2016-03-01
1250641,2016-03-01
1213977,2016-03-01
1210008,2016-03-01
1212616,2016-03-01
1254260,2016-03-01
1135586,2016-03-01
1252558,2016-03-01
1213602,2016-03-01
1239329,2016-03-01
1191942,2016-03-01
1195614,2016-03-01
1213601,2016-03-01
1216785,2016-03-01
1239039,2016-03-01
1227633,2016-03-01
514537,2016-03-01
1249741,2016-03-01
1213527,2016-03-01
1239318,2016-03-01
1239315,2016-03-01
1212714,2016-03-01
1213261,2016-03-01
1211773,2016-03-01
1251146,2016-03-01
316569,2016-03-09
1214860,2016-03-10
217272,2016-03-15
183329,2016-03-22
1252055,2016-03-29
1253053,2016-03-31
1254515,2016-04-01
1254897,2016-04-01
1254335,2016-04-01
1254257,2016-04-01
1257702,2016-04-01
1249792,2016-04-01
1254302,2016-04-01
1254298,2016-04-01
1254304,2016-04-01
1221089,2016-04-01
1316108,2016-04-01
1254318,2016-04-01
1254312,2016-04-01
1254322,2016-04-01
1253328,2016-04-01
1311908,2016-04-01
316831,2016-04-01
1257089,2016-04-01
1254310,2016-04-01
1253919,2016-04-01
1254050,2016-04-03
1312463,2016-04-15
1361584,2016-05-01
1350657,2016-05-01
1353136,2016-05-01
1352254,2016-05-01
1353416,2016-05-01
1414488,2016-06-01
1362586,2016-06-01
1383449,2016-06-01
183361,2016-06-03
1377900,2016-07-01
1373858,2016-07-01
1402492,2016-07-01
1399718,2016-07-01
1439095,2016-08-01
1399714,2016-08-01
1475269,2016-08-01
1349020,2016-08-02
511895,2016-08-24
1439096,2016-09-01
237927,2016-09-01
1446778,2016-09-01
768962,2016-09-01
1424897,2016-09-01
1480574,2016-10-01
1455508,2016-10-01
1439098,2016-10-01
1478659,2016-10-01
1483740,2016-10-01
1497660,2016-11-01
1494956,2016-11-01
1500619,2016-11-01
1490445,2016-11-01
1506919,2016-11-01
1517570,2016-11-01
1492554,2016-11-01
1494590,2016-11-01
1549919,2016-12-01
1584126,2016-12-01
1523029,2016-12-01
1521192,2016-12-01
1544533,2016-12-01
1526481,2016-12-01
1527851,2016-12-01
1609999,2017-01-01
1599540,2017-01-01
1631044,2017-01-01
1631058,2017-01-01
1594710,2017-01-01
1606348,2017-01-01
1594399,2017-01-01
1596842,2017-01-01
1649308,2017-02-01
1630477,2017-02-01
1630480,2017-02-01
1630099,2017-02-01
1630485,2017-03-01
1660171,2017-03-01
1706565,2017-04-01
1672483,2017-04-01
1698187,2017-04-01
1700363,2017-04-01
1672586,2017-05-01
1738026,2017-06-01
1781510,2017-06-01
1763230,2017-06-01
1686944,2017-06-01
1746462,2017-06-01
1763110,2017-06-14
1798226,2017-07-01
