Date;Title
02.01.2015;10 Jahre LuS - Grüßwort
05.01.2015;10 Jahre LuS - Programmheft
26.01.2015;Berliner Tafel zum 19. Mal auf der Internationalen Grünen Woche
07.02.2015;Ausgeklügelte Logistik, aber weniger Waren, FRUIT LOGISTICA
16.03.2015;Eins mehr! Vor Ostern
02.04.2015;11 Tonnen Freude zur Osterzeit
14.04.2015;Internationale Erfolge für KIMBA im Jubiläumsjahr
28.04.2015;Prickelnde Angelegenheit - Die Berliner Tafel-Brause
26.06.2015;KIMBA-Kochkurse feiern 5 erfolgreiche Jahre
26.08.2015;Versüßter Schulstardt bei LuS
15.09.2015;Eins mehr! Erntedank
28.09.2015;Auktion für die Berliner Tafel
05.10.2015;9 Tonnen Lebensmittel für LuS Erntedank
05.11.2015;ICK BIN EENE BERLINER TAFEL
25.11.2015;Eins mehr! Adventszeit
26.11.2015;Auftaktkochen Suppe mit Sinn
14.12.2015;12 Tonnen Lebensmittel für LAIB und SEELE
25.01.2016;Grüne Woche: 11 Tonnen Lebensmittel
06.02.2016;50 Tonnen Obst und Gemüse
07.03.2016;Eins mehr! Ostern
24.03.2016;Eins mehr! 10 Tonnen Osterfreunde
03.05.2016;Berliner Tafel erstattet Anzeige
29.07.2016;Berliner Tafel zieht mit dem Zug der Liebe
18.08.2016;Gemeinsam (an)packen für Berliner Schulkinder
05.09.2016;130 Zuckertüten für Berliner Wilkommensklassen
07.09.2016;Eins mehr! Für Bedürftige
23.09.2016;Eins mehr! Erntedank
07.11.2016;BT und MyPlace bitten um Spenden
15.11.2016;Tafeln zugusten der Berliner Tafel
30.11.2016;Suppe mit Sinn
01.12.2016;Eins mehr! Sammelt Weihnachtsgaben für Bedürftige
05.12.2016;MyPlace Spendenübergabe
19.12.2016;Eins mehr! Sammelt Weihnachtsgaben für Bedürftige
30.01.2017;BT sammelt 14 Tonnen Lebensmittel auf der Grünen Woche
13.02.2017;Feuerwehr und THW retten tonnenweiseLebensmittel für die BT
28.03.2017;Eins mehr! Sammelt für Bedürftige in der Osterzeit
18.04.2017;Eins mehr! Sammelt 8 Tonnen Osterspenden für Bedürftige
02.05.2017;Berliner Tafel prüft Vorwürfe gegen Ehrenamtliche
19.05.2017;Selbstverpflichtung für Ehrenamtliche
28.06.2017;Spende Dein Pfand
28.08.2017;2760 Schultüten
05.09.2017;500 Zuckertüten
12.09.2017;Eins mehr
25.09.2017;Eröffnung Ausgabestelle Halensee
02.10.2017;"""Eins mehr!"" sammelt 7,5 Tonnen Erntedankgaben"""
06.11.2017;Berliner Tafel und MyPlace
15.11.2017;Suppe mit Sinn
29.11.2017;"""Eins mehr!"" sammelt Weihnachtsgaben für Bedürftige"""
