External personal ID,exit date
13793,2015-01-05
10196,2015-01-07
13715,2015-01-08
13621,2015-01-08
14074,2015-01-20
14465,2015-01-31
14063,2015-02-17
14236,2015-02-24
10546,2015-03-03
14070,2015-03-16
10353,2015-03-16
10921,2015-03-30
14221,2015-03-31
14195,2015-04-08
10914,2015-04-14
14333,2015-04-23
13671,2015-05-04
10686,2015-05-12
13800,2015-06-02
13570,2015-06-03
13661,2015-06-08
13930,2015-06-30
10638,2015-06-30
14099,2015-06-30
13859,2015-06-30
10925,2015-06-30
13998,2015-06-30
10904,2015-07-16
10315,2015-07-27
10890,2015-08-03
14376,2015-08-31
10331,2015-09-21
10311,2015-09-28
13705,2015-10-08
13499,2015-10-08
11229,2015-10-16
13948,2015-10-19
11186,2015-10-20
14129,2015-10-28
14580,2015-10-31
13588,2015-11-03
13618,2015-12-31
14680,2015-12-31
10147,2015-12-31
14657,2015-12-31
10747,2015-12-31
-,2015-12-31
14219,2015-12-31
14360,2015-12-31
13982,2015-12-31
13994,2014-01-08
10477,2016-01-04
10714,2016-01-08
13913,2016-01-08
10323,2016-01-08
13453,2016-01-08
10503,2016-01-08
10375,2016-01-08
10478,2016-01-12
13680,2016-01-18
13410,2016-01-21
11085,2016-01-22
10512,2016-02-10
14232,2016-02-28
14237,2016-02-29
14203,2016-02-29
13916,2016-03-21
14885,2016-03-31
14841,2016-03-31
14158,2016-03-31
14842,2016-03-31
14919,2016-04-04
10856,2016-04-04
13965,2016-04-05
14559,2016-04-11
10484,2016-04-11
10064,2016-04-14
14734,2016-04-15
10005,2016-04-18
13931,2016-04-19
10887,2016-04-27
13599,2016-04-27
14910,2016-04-30
14911,2016-04-30
14959,2016-04-30
14258,2016-04-30
14889,2016-04-30
14906,2016-04-30
14944,2016-04-30
14953,2016-04-30
14954,2016-04-30
14768,2016-04-30
14891,2016-04-30
14935,2016-04-30
14772,2016-04-30
14907,2016-04-30
14942,2016-04-30
14904,2016-04-30
14943,2016-04-30
14846,2016-04-30
10017,2016-05-02
10073,2016-05-23
14350,2016-05-24
14940,2016-05-31
14936,2016-05-31
14899,2016-05-31
14937,2016-05-31
14941,2016-05-31
14939,2016-05-31
14905,2016-05-31
14041,2016-06-01
14373,2016-06-08
13482,2016-06-22
10840,2016-06-27
11108,2016-06-29
13683,2016-06-29
10595,2016-06-29
13840,2016-06-29
13841,2016-06-29
11188,2016-06-29
13808,2016-06-29
14861,2016-06-30
13989,2016-06-30
13664,2016-06-30
10966,2016-06-30
10273,2016-06-30
14938,2016-06-30
13422,2016-06-30
14948,2016-06-30
14949,2016-06-30
10012,2016-07-31
14557,2016-07-31
14261,2016-07-31
14280,2016-08-31
14347,2016-08-31
14439,2016-08-31
14901,2016-09-30
14855,2016-09-30
13672,2016-09-30
14856,2016-09-30
11211,2016-10-05
14211,2016-10-17
14250,2016-10-17
11026,2016-10-17
10186,2016-10-17
10694,2016-10-26
14918,2016-10-31
14902,2016-10-31
14771,2016-10-31
10814,2016-10-31
13371,2016-11-09
14275,2016-11-22
14914,2016-11-30
14202,2016-11-30
14127,2016-12-05
11034,2016-12-22
10101,2016-12-31
14881,2016-12-31
13985,2016-12-31
14006,2016-12-31
13846,2016-12-31
14803,2016-12-31
10454,2016-12-31
13604,2016-12-31
14799,2016-12-31
14214,2016-12-31
14331,2016-12-31
14542,2016-12-31
10414,2017-01-22
14362,2017-01-25
14622,2017-01-31
14678,2017-01-31
14285,2017-01-31
14567,2017-01-31
10271,2017-02-17
14832,2017-02-28
14831,2017-02-28
14880,2017-02-28
14830,2017-02-28
14870,2017-02-28
14869,2017-02-28
14872,2017-02-28
14871,2017-02-28
-,2017-02-28
14829,2017-02-28
14898,2017-02-28
14835,2017-02-28
14833,2017-02-28
14900,2017-02-28
14838,2017-02-28
14862,2017-02-28
14828,2017-02-28
14827,2017-02-28
14895,2017-02-28
10048,2017-03-24
13802,2017-03-31
15019,2017-03-31
13628,2017-03-31
14930,2017-03-31
14920,2017-03-31
14847,2017-03-31
14864,2017-04-30
14958,2017-04-30
14963,2017-04-30
14707,2017-04-30
14708,2017-04-30
14259,2017-05-31
14990,2017-05-31
14733,2017-05-31
10495,2017-06-30
10946,2017-06-30
10275,2017-06-30
10961,2017-06-30
11174,2017-06-30
14279,2017-06-30
11321,2017-06-30
11171,2017-07-08
14320,2017-07-31
15018,2017-07-31
14187,2017-08-31
